Fecha,Departamento,Provincia,Distrito,Condición ,Producto,LATITUD,LONGITUD,Zona horaria
9/16/24 14:07,AMAZONAS,UTCUBAMBA,CUMBA,Negativo,Plátano,-5.93511974124468,-78.65535894057155,17
9/16/24 14:11,CUSCO,LA CONVENCION,ECHARATE,Negativo,Banano,-12.657965755247101,-72.76588422722797,18
9/20/24 14:42,SAN MARTIN,RIOJA,RIOJA,Negativo,Plátano,-5.999488988685697,-77.22028052292981,18
9/20/24 14:43,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Negativo,Plátano,-6.099065730072394,-77.05022863762153,18
9/20/24 14:45,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Negativo,Plátano,-6.091693148903417,-77.05378623962605,18
9/20/24 14:46,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Negativo,Plátano,-6.097884348492533,-77.05183181760931,18
9/20/24 14:48,SAN MARTIN,RIOJA,RIOJA,Negativo,Plátano,-6.059123513501586,-77.14847833851678,18
9/20/24 14:49,SAN MARTIN,RIOJA,RIOJA,Negativo,Plátano,-6.041252812894511,-77.2223103307476,18
9/20/24 14:50,SAN MARTIN,TOCACHE,NUEVO PROGRESO,Negativo,Plátano,-8.488756759838454,-76.3268869574789,18
9/20/24 14:53,SAN MARTIN,TOCACHE,NUEVO PROGRESO,Negativo,Plátano,-8.487487909736442,-76.3277182590039,18
9/20/24 14:27,TUMBES,TUMBES,PAMPAS DE HOSPITAL,Negativo,Banano,-3.7397521504095903,-80.43561584602554,17
9/20/24 14:35,TUMBES,ZARUMILLA,AGUAS VERDES,Negativo,Plátano,-3.5275896827751687,-80.22950515650172,17
9/20/24 14:54,TUMBES,TUMBES,CORRALES,Negativo,Banano,-3.6176769275461305,-80.44745205257071,17
9/20/24 14:33,TUMBES,ZARUMILLA,AGUAS VERDES,Negativo,Banano,-3.5295824434862797,-80.23264552783043,17
9/20/24 14:57,TUMBES,TUMBES,CORRALES,Negativo,Plátano,-3.611695955032997,-80.44546576766133,17
9/20/24 14:32,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-3.4128077625201416,-80.20227778035068,17
9/20/24 14:59,TUMBES,TUMBES,CORRALES,Negativo,Banano,-3.5856094776595744,-80.46687469016298,17
9/20/24 14:30,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-3.6034179064305203,-80.19186110467548,17
9/20/24 11:45,TUMBES,TUMBES,PAMPAS DE HOSPITAL,Negativo,Banano,-3.702273791964007,-80.43759377665721,17
9/20/24 15:04,TUMBES,TUMBES,PAMPAS DE HOSPITAL,Negativo,Plátano,-3.6796764585075996,-80.43890467528358,17
9/20/24 14:39,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-4.43677521088471,-80.18953492272549,17
9/20/24 15:05,TUMBES,TUMBES,PAMPAS DE HOSPITAL,Negativo,Banano,-3.759547142214384,-80.45175915372504,17
9/20/24 14:29,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-3.5306582761087686,-80.22102189631283,17
9/20/24 15:02,TUMBES,TUMBES,SAN JACINTO,Negativo,Banano,-3.637845803167455,-80.43956099924034,17
9/20/24 15:00,TUMBES,TUMBES,SAN JACINTO,Negativo,Plátano,-3.6447581527452884,-80.44086236446117,17
9/20/24 14:36,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-3.544910376547927,-80.21559017591188,17
9/20/24 14:38,TUMBES,ZARUMILLA,PAPAYAL,Negativo,Banano,-3.616386440838007,-80.19808018097591,17
9/20/24 14:40,TUMBES,TUMBES,SAN JACINTO,Negativo,Banano,-3.8067782558765773,-80.47974743127637,17
9/18/24 14:56,PASCO,OXAPAMPA,VILLA RICA,Negativo,Banano,-10.81649583498691,-75.3043874567453,18
9/18/24 14:58,PASCO,OXAPAMPA,VILLA RICA,Negativo,Banano,-10.818180736345905,-75.30161726552494,18
9/19/24 8:50,PIURA,PIURA,PIURA,Negativo ,Banano,-5.02589081651377,-80.61181163173889,17
9/19/24 8:44,PIURA,PIURA,TAMBO GRANDE,Negativo ,Banano,-4.912419917856717,-80.21039880342143,17
9/19/24 8:43,PIURA,MORROPON,MORROPON,Negativo ,Banano,-5.212165093117958,-79.99797435242964,17
9/19/24 8:48,PIURA,MORROPON,MORROPON,Negativo ,Banano,-5.211182413554885,-80.00001497982052,17
9/19/24 8:52,PIURA,MORROPON,MORROPON,Negativo ,Banano,-5.2111099366382945,-79.99426780785983,17
9/20/24 15:59,LORETO,MAYNAS,IQUITOS,Negativo,Plátano,-3.753800926940385,-73.41088011130394,18
9/20/24 16:00,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.8106157154833937,-73.19347243715042,18
9/20/24 16:02,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.7741132498552346,-73.23826014029254,18
9/20/24 15:58,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.789670270892602,-73.23562712681353,18
9/20/24 16:03,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.81180265623087,-73.1946042213065,18
9/19/24 16:09,LORETO,LORETO,NAUTA,Negativo,Plátano,-4.434771898437867,-73.48164530268281,18
9/19/24 16:12,LORETO,MAYNAS,SAN JUAN BAUTISTA,Negativo,Plátano,-3.8747353379807885,-73.34322098901781,18
9/20/24 16:05,LORETO,REQUENA,PUINAHUA,Negativo,Plátano,-5.1389054197673945,-74.25352175654106,18
9/19/24 16:06,LORETO,REQUENA,PUINAHUA,Negativo,Plátano,-5.136550792508206,-74.25120584789454,18
9/19/24 15:55,LORETO,MAYNAS,BELEN,Negativo,Plátano,-3.7901131004569626,-73.23550020048806,18
9/20/24 15:07,SAN MARTIN,LAMAS,CAYNARACHI,Negativo,Banano / Platano,-6.166348695410728,-76.33485147783783,18
9/20/24 15:08,SAN MARTIN,LAMAS,CAYNARACHI,Negativo,Banano / Platano,-6.146850958326908,-76.30892368881585,18
9/20/24 15:09,SAN MARTIN,PICOTA,TRES UNIDOS,Negativo,Banano / Platano,-6.844003524994509,-76.16491510532167,18
9/20/24 15:11,SAN MARTIN,PICOTA,TRES UNIDOS,Negativo,Banano / Platano,-6.838316144011514,-76.14167276176072,18
9/20/24 14:07,CUSCO,LA CONVENCION,PICHARI,Negativo,Banano / Platano,-12.385973766946284,-73.90602143479018,18
9/20/24 12:57,CUSCO,LA CONVENCION,PICHARI,Negativo,Banano / Platano,-12.260156328191224,-73.96835173290688,18
9/20/24 14:05,CUSCO,LA CONVENCION,PICHARI,Negativo,Banano / Platano,-12.251884199798932,-73.97107756572552,18
9/19/24 17:08,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.788666745414752,-80.58244246184984,17
9/19/24 17:07,PIURA,PAITA,LA HUACA,Negativo ,Banano,-4.905366807336052,-80.94006501054031,17
9/19/24 17:08,PIURA,PAITA,LA HUACA,Negativo ,Banano,-4.905927621031393,-80.93919908216928,17
9/19/24 17:10,PIURA,SULLANA,IGNACIO ESCUDERO,Negativo ,Banano,-4.896801921913081,-80.84269198987307,17
9/19/24 17:12,PIURA,SULLANA,SULLANA,Positivo ,Banano,-4.792184418134876,-80.58016783621252,17
9/19/24 17:11,PIURA,SULLANA,MARCAVELICA,Negativo ,Banano,-4.8640750807703785,-80.73860288021154,17
9/19/24 17:03,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.823474754465415,-80.64105805242795,17
9/19/24 17:06,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.82187303868307,-80.64013902919709,17
9/19/24 17:10,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.836127766452953,-80.65259504183156,17
9/19/24 17:11,PIURA,SULLANA,MARCAVELICA,Negativo ,Banano,-4.873820857382338,-80.7454445774632,17
9/19/24 17:02,PIURA,SULLANA,MARCAVELICA,Negativo ,Banano,-4.861761551541345,-80.74484484419715,17
9/20/24 16:56,ICA,NAZCA,NAZCA,Negativo,Banano,-14.832163984432142,-74.96597294932194,18
9/20/24 16:58,ICA,NAZCA,NAZCA,Negativo,Banano,-14.819471972672495,-74.98560370590795,18
9/20/24 16:53,ICA,NAZCA,NAZCA,Negativo,Banano,-14.831278214124813,-74.96794350695602,18
9/19/24 15:16,LA LIBERTAD,CHEPEN,CHEPEN,Negativo,Banano,-7.190437901034805,-79.42091881117071,17
9/24/24 15:00,UCAYALI,CORONEL PORTILLO,CALLERIA,Negativo,Banano / Platano,-8.419555540895415,-74.63096470413426,18
9/19/24 15:15,LA LIBERTAD,CHEPEN,PACANGA,Negativo,Banano,-7.1629344286480645,-79.4011229608316,17
9/24/24 15:12,UCAYALI,PADRE ABAD,HUIPOCA,Negativo,Banano / Platano,-8.978065327361364,-75.50947950685412,18
9/24/24 15:07,UCAYALI,PADRE ABAD,HUIPOCA,Negativo,Banano / Platano,-8.957582526968936,-75.50021787507207,18
9/24/24 15:11,UCAYALI,PADRE ABAD,HUIPOCA,Negativo,Banano / Platano,-8.992734174223154,-75.45552433813644,18
9/23/24 12:16,AMAZONAS,UTCUBAMBA,CAJARURO,Negativo,Plátano,-5.754352061441882,-78.38944533935401,17
9/23/24 12:17,AMAZONAS,UTCUBAMBA,CAJARURO,Negativo,Banano,-5.821029682360672,-78.21788882794536,17
9/24/24 12:20,PASCO,OXAPAMPA,PUERTO BERMUDEZ,Negativo,Plátano,-10.313930338614247,-74.9260745681023,18
9/24/24 12:21,PASCO,OXAPAMPA,CONSTITUCION,Negativo,Plátano,-9.946028497734622,-75.06864113629163,18
9/27/24 9:47,PUNO,CARABAYA,SAN GABAN,Negativo,Banano,-13.409879504736002,-76.29677993348791,19
9/27/24 9:59,PUNO,CARABAYA,SAN GABAN,Negativo,Plátano,-13.405952461648601,-76.31146046730657,19
9/27/24 9:48,PUNO,CARABAYA,SAN GABAN,Negativo,Banano / Platano,-13.414815476615772,-76.322904483209,19
9/24/24 11:57,JUNIN,SATIPO,RIO NEGRO,Negativo,Plátano,-11.143068714195026,-74.70232970869125,18
9/24/24 11:56,JUNIN,SATIPO,RIO NEGRO,Negativo,Plátano,-11.139563884206094,-74.70656429339851,18
9/24/24 12:25,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,Negativo,Plátano,-10.834243372839474,-75.1712005178981,18
9/24/24 12:24,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,Negativo,Banano,-10.810911773923696,-75.35073430130579,18
9/24/24 12:36,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,Negativo,Banano,-10.816532167437606,-75.33896726688079,18
9/27/24 9:58,PUNO,CARABAYA,SAN GABAN,Negativo,Banano / Platano,-13.408225420967618,-76.29496104637965,19
9/27/24 10:07,PUNO,CARABAYA,SAN GABAN,Negativo,Banano / Platano,-13.416356495581118,-76.31172007184493,19
9/27/24 9:45,PUNO,CARABAYA,SAN GABAN,Negativo,Banano,-13.439314084167664,-76.34517701549849,19
9/27/24 9:57,PUNO,CARABAYA,SAN GABAN,Negativo,Banano / Platano,-13.435024101346809,-76.36291318151132,19
9/27/24 10:05,PUNO,CARABAYA,SAN GABAN,Negativo,Plátano,-13.464785222897286,-76.41345806171661,19
9/25/24 11:58,JUNIN,SATIPO,MAZAMARI,Negativo,Plátano,-11.317229691743561,-74.38815489423158,18
9/25/24 14:36,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,Negativo,Banano / Platano,-12.397318127598718,-75.12288272146311,19
9/25/24 14:29,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,Negativo,Banano / Platano,-12.383003997710558,-75.13931527155069,19
9/25/24 12:13,ICA,PISCO,SAN CLEMENTE,Negativo,Banano / Platano,-13.627568763980394,-76.18076968754045,18
9/25/24 16:08,PIURA,MORROPON,CHULUCANAS,Negativo ,Banano,-5.018974469730415,-80.22151130136317,17
9/25/24 16:15,PIURA,MORROPON,LA MATANZA,Negativo ,Banano,-5.199809631312923,-80.05679255114481,17
9/25/24 16:14,PIURA,MORROPON,LA MATANZA,Negativo ,Banano,-5.20394428017858,-80.0574089464882,17
9/25/24 16:17,PIURA,MORROPON,LA MATANZA,Negativo ,Banano,-5.196904128969332,-80.04947070653193,17
10/1/24 12:29,SAN MARTIN,TOCACHE,UCHIZA,Negativo,Plátano,-8.249970349769875,-76.47071032379125,18
10/1/24 12:31,SAN MARTIN,TOCACHE,TOCACHE,Negativo,Plátano,-8.249275223686887,-76.47285904637249,18
10/1/24 12:38,SAN MARTIN,LAMAS,ZAPATERO,Negativo,Plátano,-6.6095568167720655,-76.52978893925746,18
